DATE,CE16OV
1980-01-01,99879
1980-02-01,99995
1980-03-01,99713
1980-04-01,99233
1980-05-01,98945
1980-06-01,98682
1980-07-01,98796
1980-08-01,98824
1980-09-01,99077
1980-10-01,99317
1980-11-01,99545
1980-12-01,99634
1981-01-01,99955
1981-02-01,100191
1981-03-01,100571
1981-04-01,101056
1981-05-01,101048
1981-06-01,100298
1981-07-01,100693
1981-08-01,100689
1981-09-01,100064
1981-10-01,100378
1981-11-01,100207
1981-12-01,99645
1982-01-01,99692
1982-02-01,99762
1982-03-01,99672
1982-04-01,99576
1982-05-01,100116
1982-06-01,99543
1982-07-01,99493
1982-08-01,99633
1982-09-01,99504
1982-10-01,99215
1982-11-01,99112
1982-12-01,99032
1983-01-01,99161
1983-02-01,99089
1983-03-01,99179
1983-04-01,99560
1983-05-01,99642
1983-06-01,100633
1983-07-01,101208
1983-08-01,101608
1983-09-01,102016
1983-10-01,102039
1983-11-01,102729
1983-12-01,102996
1984-01-01,103201
1984-02-01,103824
1984-03-01,103967
1984-04-01,104336
1984-05-01,105193
1984-06-01,105591
1984-07-01,105435
1984-08-01,105163
1984-09-01,105490
1984-10-01,105638
1984-11-01,105972
1984-12-01,106223
1985-01-01,106302
1985-02-01,106555
1985-03-01,106989
1985-04-01,106936
1985-05-01,106932
1985-06-01,106505
1985-07-01,106807
1985-08-01,107095
1985-09-01,107657
1985-10-01,107847
1985-11-01,108007
1985-12-01,108216
1986-01-01,108887
1986-02-01,108480
1986-03-01,108837
1986-04-01,108952
1986-05-01,109089
1986-06-01,109576
1986-07-01,109810
1986-08-01,110015
1986-09-01,110085
1986-10-01,110273
1986-11-01,110475
1986-12-01,110728
1987-01-01,110953
1987-02-01,111257
1987-03-01,111408
1987-04-01,111794
1987-05-01,112434
1987-06-01,112246
1987-07-01,112634
1987-08-01,113057
1987-09-01,112909
1987-10-01,113282
1987-11-01,113505
1987-12-01,113793
1988-01-01,114016
1988-02-01,114227
1988-03-01,114037
1988-04-01,114650
1988-05-01,114292
1988-06-01,114927
1988-07-01,115060
1988-08-01,115282
1988-09-01,115356
1988-10-01,115638
1988-11-01,116100
1988-12-01,116104
1989-01-01,116708
1989-02-01,116776
1989-03-01,117022
1989-04-01,117097
1989-05-01,117099
1989-06-01,117418
1989-07-01,117472
1989-08-01,117655
1989-09-01,117354
1989-10-01,117581
1989-11-01,117912
1989-12-01,117830
1990-01-01,119081
1990-02-01,119059
1990-03-01,119203
1990-04-01,118852
1990-05-01,119151
1990-06-01,118983
1990-07-01,118810
1990-08-01,118802
1990-09-01,118524
1990-10-01,118536
1990-11-01,118306
1990-12-01,118241
1991-01-01,117940
1991-02-01,117755
1991-03-01,117652
1991-04-01,118109
1991-05-01,117440
1991-06-01,117639
1991-07-01,117568
1991-08-01,117484
1991-09-01,117928
1991-10-01,117800
1991-11-01,117770
1991-12-01,117466
1992-01-01,117978
1992-02-01,117753
1992-03-01,118144
1992-04-01,118426
1992-05-01,118375
1992-06-01,118419
1992-07-01,118713
1992-08-01,118826
1992-09-01,118720
1992-10-01,118628
1992-11-01,118876
1992-12-01,118997
1993-01-01,119075
1993-02-01,119275
1993-03-01,119542
1993-04-01,119474
1993-05-01,120115
1993-06-01,120290
1993-07-01,120467
1993-08-01,120856
1993-09-01,120554
1993-10-01,120823
1993-11-01,121169
1993-12-01,121464
1994-01-01,121966
1994-02-01,122086
1994-03-01,121930
1994-04-01,122290
1994-05-01,122864
1994-06-01,122634
1994-07-01,122706
1994-08-01,123342
1994-09-01,123687
1994-10-01,124112
1994-11-01,124516
1994-12-01,124721
1995-01-01,124663
1995-02-01,124928
1995-03-01,124955
